Residential property sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 8 April 2025],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of sales:,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
row,Sep-96,Sep-97,Sep-98,Sep-99,Sep-00,Sep-01,Sep-02,Sep-03,Sep-04,Sep-05,Sep-06,Sep-07,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Sep-14,Sep-15,Sep-16,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23,Area,mnemonic
28,6011,7812,7717,7812,9173,8916,10279,9417,9894,7553,8757,9469,5516,3725,4710,4671,4748,5278,6859,6928,7542,7534,7480,7695,6593,10481,7311,5310,ladu2023:Cheshire East,E06000049
29,5012,5800,5779,6539,7411,7028,8068,7586,7939,5601,7061,7326,4346,2808,3468,3592,3631,4135,5546,5750,6325,6383,6175,5976,4641,7714,5644,4172,ladu2023:Cheshire West and Chester,E06000050
30,4228,4500,4440,4799,5100,5450,6260,6291,6411,5162,6053,6536,4066,2668,3283,3226,3114,3376,4249,4363,4574,4463,4739,4598,3855,6255,4837,3467,ladu2023:Cumberland,E06000063
31,3836,4863,4899,5279,5438,5299,5879,5706,5783,4577,5227,5620,3630,2591,3169,2928,2898,3145,3744,3955,4092,4264,4055,4092,3329,5623,3975,2997,ladu2023:Westmorland and Furness,E06000064
32,1479,1292,1924,1660,1847,2296,2659,3370,3575,3450,3600,3388,1826,817,1039,931,938,916,1292,1298,1430,1551,1548,1406,1228,1801,1622,1161,ladu2023:Burnley,E07000117
33,1468,1957,2009,2092,2372,2400,2875,2668,2886,1937,2345,2512,1601,999,1468,1526,1407,1478,1815,2016,2132,2087,2121,2016,1705,2448,1819,1261,ladu2023:Chorley,E07000118
34,1330,1929,1783,1830,1994,2100,2404,2209,2340,1443,1929,2174,1371,948,1140,1006,952,1157,1472,1450,1729,1748,1617,1611,1334,2202,1694,1104,ladu2023:Fylde,E07000119
35,1468,1690,1549,1487,1673,1952,2164,2547,2669,2246,2501,2201,1397,737,852,882,820,909,1060,1057,1264,1211,1171,1244,1076,1485,1323,898,ladu2023:Hyndburn,E07000120
36,2207,2742,2633,2418,3333,3495,4232,3995,3978,2616,3279,3513,2164,1665,1865,1794,1783,1824,2387,2391,2383,2510,2420,2436,1852,2987,2219,1686,ladu2023:Lancaster,E07000121
37,1355,1288,1737,1826,1892,2154,2592,2519,3236,2689,2959,2951,1619,813,1022,992,980,1050,1291,1269,1538,1384,1468,1487,1248,1847,1486,1096,ladu2023:Pendle,E07000122
38,2219,2611,2507,2323,2689,2854,3533,3176,3474,2819,3166,3408,1949,1385,1595,1400,1381,1420,1658,1733,1862,2017,2011,2027,1725,2568,2248,1465,ladu2023:Preston,E07000123
39,976,1318,1208,1060,1216,1323,1537,1436,1464,1026,1252,1269,737,537,677,630,610,796,1007,983,1025,1215,1092,1146,1069,1657,1127,767,ladu2023:Ribble Valley,E07000124
40,732,907,1336,1271,1280,1405,1791,1598,2219,1447,1693,1788,1094,581,697,721,622,716,1075,1046,1235,1282,1201,1185,980,1431,1210,791,ladu2023:Rossendale,E07000125
41,1798,2077,2160,1964,2393,2376,2966,2677,2852,2185,2747,2800,1655,1081,1462,1191,1237,1412,1849,1932,1877,1917,1867,1929,1644,2574,1973,1405,ladu2023:South Ribble,E07000126
42,1193,1691,1742,1866,2073,2095,2391,2263,2527,1745,2009,2091,1246,759,985,870,939,1059,1366,1365,1537,1478,1502,1661,1395,2261,1609,1168,ladu2023:West Lancashire,E07000127
43,2017,2315,2258,2485,2723,2855,3315,2836,2922,1871,2429,2661,1704,990,1327,1226,1310,1439,1720,1760,1927,1967,1987,1958,1764,3052,2181,1392,ladu2023:Wyre,E07000128
44,4169,4695,4508,4698,4792,5613,6707,6259,6447,4865,5212,5962,3978,2343,2657,2504,2565,2784,3376,3532,4056,3940,3901,3831,3240,4750,3704,2802,ladu2023:Bolton,E08000001
45,2904,3312,3438,3664,4009,3953,4671,4570,5071,3773,4228,4298,2673,1406,1914,1893,1823,2033,2741,2843,3166,2996,2954,2780,2149,3345,2592,1984,ladu2023:Bury,E08000002
46,5077,5991,6150,7161,8640,8814,11011,12119,13370,11492,12737,13502,7547,4327,5273,4700,4417,4811,6158,6851,7436,6872,6343,5868,5130,6805,5588,3747,ladu2023:Manchester,E08000003
47,3347,3693,3755,3973,4084,4116,4681,4816,5109,4061,4575,4820,3177,1737,2063,1761,1774,1890,2391,2467,2688,2976,2884,2780,2490,3311,2666,1965,ladu2023:Oldham,E08000004
48,2669,2884,2971,3405,3731,3888,4344,4052,4131,3269,4033,4347,2727,1479,1857,1776,1691,1893,2391,2543,2841,2850,2959,2965,2471,3392,2911,2003,ladu2023:Rochdale,E08000005
49,2747,3391,3241,3561,3896,4026,4852,5369,6073,4905,5488,6480,4080,2346,2321,2370,2291,2584,3591,4227,5084,4713,4650,4551,3335,4944,3880,2565,ladu2023:Salford,E08000006
50,4392,5623,5799,6165,6504,6015,6686,6225,6654,4636,6265,6896,4048,2438,3364,3148,3323,3706,4917,4838,5276,5068,4991,4789,4015,6288,4290,3414,ladu2023:Stockport,E08000007
51,3257,3617,3512,3580,4247,4264,4931,4859,4923,3648,4612,5244,3370,1773,2171,2050,2017,2108,2598,2840,3179,3312,3408,3209,2589,3950,3035,2320,ladu2023:Tameside,E08000008
52,3499,4375,3958,4415,4412,4142,5007,4973,5555,3997,4905,5249,2921,1933,3065,2603,2919,3068,3883,3879,3994,3727,3838,3540,2768,5119,3053,2336,ladu2023:Trafford,E08000009
53,4601,5293,5319,5001,5592,5929,6835,6889,7175,5496,6454,7742,4973,2586,2985,2997,2915,3201,4039,4079,4681,4905,5146,5342,4538,6097,5008,3446,ladu2023:Wigan,E08000010
